update,mean_reward,mean_improvement,mean_similarity,mean_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,time(min)
1,0.04293016984537801,0.04293016984537801,0.6663261168450196,1.25,-0.014629049273025885,0.4587968736886978,2.5939193964004517,-0.003050374914892018,0.0,0.107062828540802
2,0.10102251962227915,0.10102251962227915,0.6704273083908869,1.25,-0.023755129775963724,0.580510601401329,2.665280759334564,0.003149652504362166,0.0,0.11509430408477783
3,0.2085084449780542,0.2085084449780542,0.6236538870518678,2.25,-0.01363287417916581,0.5398783087730408,2.229079782962799,0.0019299073901493102,0.0,0.1802655816078186
4,-0.044650284589490774,-0.04440756614288882,0.6067325592106279,1.75,-0.012856600689701736,0.8280250877141953,2.2887229919433594,-0.007542429317254573,0.01785714365541935,0.14381733735402424
5,0.23507591899747188,0.23507591899747188,0.618598876341174,1.875,-0.023122036713175476,1.0241591334342957,2.1715468764305115,0.019031761214137077,0.10000000149011612,0.16979859272638956
6,1.0446419494640309,1.0446419494640309,0.6190920796392149,1.75,-0.04287945805117488,1.5349321365356445,1.5440241694450378,-0.011901498539373279,0.17857143096625805,0.13149192333221435
7,1.1395350882753212,1.1395350882753212,0.609703947368421,1.875,-0.061987404711544514,1.0363996177911758,0.9860562682151794,0.029579245951026678,0.23333334363996983,0.15265559355417888
8,0.8686156479203654,0.8686156479203654,0.604760712131348,2.0,-0.02831813506782055,0.592375859618187,0.7125193327665329,0.2336640413850546,0.328125,0.17560825745264688
9,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,0.00231277197599411,0.3886779546737671,0.039486976340413094,0.0023987293243408203,0.0,0.13141038417816162
10,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.004301316104829311,0.054584388388320804,0.011967173544690013,-0.004422605037689209,0.0,0.11795767148335774
11,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.003945537842810154,0.08004786726087332,0.004792067687958479,-0.004058271646499634,0.0,0.1341131369272868
12,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.000844084657728672,0.09210639633238316,0.002367656765272841,-0.0008712410926818848,0.0,0.13650297323862712
13,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.0020793527364730835,0.016817136318422854,0.0014396379119716585,-0.002143263816833496,0.0,0.13128408193588256
14,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.000772479921579361,0.01834465959109366,0.0010014762228820473,-0.0007970929145812988,0.0,0.12966337601343791
15,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.0005675982683897018,0.006288705568294972,0.0007786703645251691,-0.0005858540534973145,0.0,0.12164947191874186
16,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.00033811572939157486,0.008309756172820926,0.0006531063409056515,-0.00034880638122558594,0.0,0.12473092079162598
17,1.3914401285735618,1.3914401285735618,0.59375,2.0,-0.022579334676265717,0.02459651604294777,0.20774031803011894,0.27406227588653564,0.125,0.16247082153956097
18,1.310932634692811,1.310932634692811,0.6118421052631579,1.875,-0.047031763009727,0.09455246105790138,0.0007134164770832285,0.2960507422685623,0.06666667014360428,0.11530442635218302
19,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.001750228926539421,0.00968437414849177,0.000770292041124776,-0.0018045026808977127,0.0,0.12372625271479289
20,1.463066054051784,1.463066054051784,0.5921052631578947,2.0,-0.0011649606749415398,0.007269901921972632,0.0007831035618437454,-0.0012021660804748535,0.0,0.12310364643732706
